parking_id,airport_id,type,pushback,name,number,suffix,airline_codes,radius,heading,has_jetway,lonx,laty
12154,12675,,,18,-1,,,,,0,77.70850833,13.20156389
12155,12675,,,16,-1,,,,,0,77.70917778,13.2014
12156,12675,,,15,-1,,,,,0,77.70958056,13.20158333
12157,12675,,,14,-1,,,,,0,77.70984444,13.20153889
12158,12675,,,13,-1,,,,,0,77.70998056,13.20171111
12159,12675,,,12,-1,,,,,0,77.71038889,13.20157778
12160,12675,,,11,-1,,,,,0,77.71063889,13.20153056
12161,12675,,,10,-1,,,,,0,77.710775,13.20169722
12162,12674,,,9,-1,,,,,0,77.66361111,12.95277778
12163,12674,,,8,-1,,,,,0,77.66444444,12.95277778
12164,12674,,,7,-1,,,,,0,77.66444444,12.95361111
12165,12674,,,6,-1,,,,,0,77.66361111,12.95361111
12166,12675,,,17,-1,,,,,0,77.708775,13.20155278
12167,12675,,,30,-1,,,,,0,77.705325,13.20157778
12168,12619,,,09,-1,,,,,0,75.80816667,26.82716667
12169,12613,,,R09,-1,,,,,0,77.08661111,28.54995
12170,12613,,,D62,-1,,,,,0,77.09031944,28.54925556
12171,12613,,,D60,-1,,,,,0,77.09008889,28.54960556
12172,12613,,,D58,-1,,,,,0,77.08985556,28.54995833
12173,12613,,,D56,-1,,,,,0,77.089625,28.55030833
12174,12613,,,D55,-1,,,,,0,77.08917778,28.54951111
12175,12613,,,D54,-1,,,,,0,77.08939167,28.55065833
12176,12613,,,D53,-1,,,,,0,77.08894444,28.54986111
12177,12613,,,D52,-1,,,,,0,77.08915833,28.55100833
12178,12613,,,D51,-1,,,,,0,77.08866389,28.55028611
12179,12613,,,D50,-1,,,,,0,77.08892778,28.55135833
12180,12613,,,D49,-1,,,,,0,77.08843056,28.55063611
12181,12613,,,E64,-1,,,,,0,77.09002778,28.55211667
12182,12613,,,D48,-1,,,,,0,77.08869444,28.55170833
12183,12613,,,D46,-1,,,,,0,77.08846111,28.55205833
12184,12613,,,D45,-1,,,,,0,77.08796667,28.55133611
12185,12613,,,D43,-1,,,,,0,77.08773333,28.55168611
12186,12613,,,D41,-1,,,,,0,77.08720556,28.55208611
12187,12613,,,D39R,-1,,,,,0,77.08676667,28.55241944
12188,12613,,,D39L,-1,,,,,0,77.08637222,28.55227778
12189,12613,,,D39,-1,,,,,0,77.08665278,28.552425
12190,12613,,,D37R,-1,,,,,0,77.08595,28.55260833
12191,12613,,,D37L,-1,,,,,0,77.08555833,28.55246389
12192,12613,,,D37,-1,,,,,0,77.08583611,28.55261389
12193,12613,,,C36,-1,,,,,0,77.08021111,28.55143889
12194,12613,,,D47,-1,,,,,0,77.0882,28.55098611
12195,12619,,,08,-1,,,,,0,75.80866667,26.82716667
12196,12613,,,E66,-1,,,,,0,77.09047222,28.55201389
12197,12613,,,E70,-1,,,,,0,77.09128889,28.55132778
12198,12613,,,R08R,-1,,,,,0,77.08616389,28.55042778
12199,12613,,,R08L,-1,,,,,0,77.08653889,28.55020278
12200,12613,,,R08,-1,,,,,0,77.08623889,28.55016389
12201,12613,,,R07R,-1,,,,,0,77.08531667,28.55062222
12202,12613,,,R07L,-1,,,,,0,77.08573333,28.55052778
12203,12613,,,R07,-1,,,,,0,77.08543889,28.55032222
12204,12613,,,R06,-1,,,,,0,77.08508611,28.55046667
12205,12613,,,R05,-1,,,,,0,77.08466111,28.55039167
12206,12613,,,R04,-1,,,,,0,77.0799,28.5574
12207,12613,,,R03R,-1,,,,,0,77.08066389,28.55781667
12208,12613,,,R03L,-1,,,,,0,77.08027778,28.55761667
12209,12613,,,E68,-1,,,,,0,77.09105556,28.55167778
12210,12613,,,R03,-1,,,,,0,77.0803,28.557975
12211,12613,,,R02L,-1,,,,,0,77.08075556,28.55815833
12212,12613,,,R02,-1,,,,,0,77.08033333,28.55817222
12213,12613,,,R01,-1,,,,,0,77.08031111,28.55885
12214,12613,,,N2833,-1,,,,,0,77.08669444,28.56291667
12215,12613,,,E84,-1,,,,,0,77.09291389,28.548875
12216,12613,,,E82,-1,,,,,0,77.09268056,28.549225
12217,12613,,,E80,-1,,,,,0,77.09245,28.549575
12218,12613,,,E78,-1,,,,,0,77.09221667,28.549925
12219,12613,,,E76,-1,,,,,0,77.09198611,28.550275
12220,12613,,,E74,-1,,,,,0,77.09175278,28.55062778
12221,12613,,,E72,-1,,,,,0,77.09151944,28.55097778
12222,12613,,,R02R,-1,,,,,0,77.08052778,28.55850278
12223,12613,,,C34R,-1,,,,,0,77.08083611,28.55144167
12224,12675,,,31,-1,,,,,0,77.70505833,13.20166944
12225,12675,,,33,-1,,,,,0,77.70313056,13.20168611
12226,12680,,,9,-1,,,,,0,76.39058333,10.15286667
12227,12680,,,8,-1,,,,,0,76.39058333,10.15286667
12228,12680,,,7,-1,,,,,0,76.39058333,10.15286667
12229,12680,,,6,-1,,,,,0,76.39058333,10.15286667
12230,12680,,,5,-1,,,,,0,76.39058333,10.15286667
12231,12680,,,4,-1,,,,,0,76.39058333,10.15286667
12232,12680,,,3,-1,,,,,0,76.39058333,10.15286667
12233,12680,,,2,-1,,,,,0,76.39058333,10.15286667
12234,12680,,,1A,-1,,,,,0,76.38958333,10.15208333
12235,12680,,,15,-1,,,,,0,76.39756667,10.15286667
12236,12680,,,14,-1,,,,,0,76.397175,10.15286667
12237,12680,,,9A,-1,,,,,0,76.39481389,10.15286667
12238,12680,,,13,-1,,,,,0,76.39646111,10.15286667
12239,12680,,,11,-1,,,,,0,76.39558611,10.15286667
12240,12680,,,10,-1,,,,,0,76.39058333,10.15286667
12241,12680,,,1,-1,,,,,0,76.39058333,10.15286667
12242,12679,,,9,-1,,,,,0,77.03938889,11.02963889
12243,12679,,,8,-1,,,,,0,77.04183333,11.03158333
12244,12679,,,7,-1,,,,,0,77.04188889,11.03141667
12245,12679,,,6,-1,,,,,0,77.04161111,11.03161111
12246,12679,,,5,-1,,,,,0,77.04105556,11.03094444
12247,12679,,,4,-1,,,,,0,77.04077778,11.03063889
12248,12679,,,3,-1,,,,,0,77.0405,11.03038889
12249,12679,,,2,-1,,,,,0,77.04,11.03033333
12250,12680,,,12,-1,,,,,0,76.39608333,10.15286667
12251,12679,,,1,-1,,,,,0,77.03961111,11.02994444
12252,12685,,,1-300,-1,,,,,0,73.83894444,15.38358333
12253,12685,,,1A,-1,,,,,0,73.83916667,15.38263889
12254,12688,,,45,-1,,,,,0,78.43368611,17.23435278
12255,12688,,,44,-1,,,,,0,78.43409444,17.23435833
12256,12688,,,43,-1,,,,,0,78.43450278,17.23436389
12257,12688,,,42,-1,,,,,0,78.43491111,17.23436944
12258,12688,,,41,-1,,,,,0,78.43532222,17.234375
12259,12688,,,40,-1,,,,,0,78.43573056,17.23438056
12260,12688,,,4,-1,,,,,0,78.43243889,17.23573333
12261,12688,,,303,-1,,,,,0,78.44938611,17.23523056
